task_id,soc_code,label,eloundou_label,explanation
39,11-3051.00,E2,E2,"An LLM can help draft and refine quality standards, testing protocols, checklists, and data-collection templates, and interpret written test reports, but actual sampling, testing, and real-time monitoring occur on the shop floor and with specialized systems. With additional LLM-powered software integrated into plant data and QA systems, it could summarize test results, flag deviations, and suggest corrective actions, cutting time substantially; this requires tooling beyond a simple chat interface."
32,11-3051.00,E2,E2,"An LLM can help draft plans, schedules, SOPs, reports, and communication for coordinating production, logistics, and marketing, but the core work also depends on real-time data systems, organizational constraints, and human negotiations. With additional LLM-powered software integrated into ERP/MES/CRM systems to surface live data, generate recommendations, and support decision-making, time to direct and coordinate these activities could be cut by more than half."
34,11-3051.00,E2,E2,"An LLM can help interpret schedules and orders, model scenarios in text or spreadsheets, and draft recommendations on inventory, staffing, and assignments, but effective decisions still require integration with live production/ERP data and constraints. With additional LLM-powered software connected to these systems, the manager could get optimized, data-driven suggestions, cutting the time needed by more than half."
35,11-3051.00,E2,E2,"An LLM can help analyze written descriptions of production issues, propose root causes, draft action plans, and prepare questions or talking points for discussions, but the core of the task involves real-time coordination, judgment, and interaction with staff and live operations. With additional integrated software (e.g., systems that pull plant data, logs, and KPIs into an LLM interface), it could significantly speed diagnosis and decision-making, but the LLM alone cannot reliably cut the required time by half."
36,11-3051.00,E2,E0,"An LLM can help draft job descriptions, interview questions, training materials, evaluation rubrics, and template responses for grievances, but the core activities—interviewing, judging fit and performance, making hire/fire decisions, and handling sensitive grievances—require substantial human interaction and judgment. However, specialized HR software powered by LLMs (integrated with company data and workflows) could streamline screening, documentation, and communication enough to cut required time by half."
40,11-3051.00,E2,E2,"An LLM can help design QC workflows, draft procedures, define metrics, and analyze or summarize text-based production/maintenance reports, but real impact comes from integrated software that ingests live plant data, dashboards, and logs, then uses the LLM to flag anomalies and suggest root causes. Such an LLM-powered system could cut the time to detect and diagnose production problems by more than half, but the LLM alone in a chat interface is insufficient."
38,11-3051.00,E1,E1,"Preparing and maintaining production reports and personnel records is largely text- and data-based (summaries, tables, narratives, standardized forms). An LLM can draft, format, and update these documents, generate summaries from provided data, and standardize wording, cutting the manager’s time by more than half while the manager reviews and finalizes."
41,11-3051.00,E1,E2,"The core work—reviewing written plans, analyzing technical and business implications, brainstorming options, and drafting or refining product/process proposals—can be substantially accelerated by an LLM. It can summarize and compare plans, generate alternative process designs, suggest improvements, and prepare materials for discussions with staff, cutting the manager’s time by at least half, while the human still leads actual decisions and in‑person collaboration."
33,11-3051.00,E1,E2,"The manager can use the LLM to draft and refine budget models, scenario analyses, cost-justification memos, and guidelines for efficient use of labor, materials, and equipment. While final approval requires human judgment and organizational authority, the time spent on analysis, documentation, and option comparison can be cut by more than half using the LLM for calculations logic, narrative, and decision support."
44,11-3051.00,E2,E2,"Requires staying up to date with evolving external literature, data, and technologies, which a standalone LLM (with a knowledge cutoff) cannot do reliably. However, an LLM-powered system integrated with up-to-date databases, journals, and internal quality data could surface, summarize, and contextualize relevant advances, cutting the time needed to maintain current knowledge by more than half."
43,11-3051.00,E1,E2,"The manager’s work here is largely analytical and text-based: gathering information on equipment performance, comparing options, drafting or reviewing maintenance/modification procedures, and making recommendations. An LLM can quickly generate and refine maintenance plans, compare pros/cons of replacement vs. repair, draft SOPs, and structure decision criteria, cutting the time needed for planning and documentation by more than half, though physical execution still requires humans."
37,11-3051.00,E2,E2,"An LLM alone can help design policies, procedures, spreadsheets, and analyses for inventory and cost control, but effective programs require integration with live enterprise data and systems (ERP, inventory databases, purchasing). With LLM-powered software that can access and analyze this data, simulate scenarios, and generate alerts or reports, a manager could initiate and coordinate such programs in less than half the time."
45,11-3051.00,E2,E2,"An LLM can draft negotiation scripts, compare quotes, analyze cost structures, and suggest pricing strategies, but actual price negotiation requires real-time interaction, relationship management, and use of procurement systems. Dedicated LLM-powered tools integrated with supplier databases and communication platforms could realistically cut the time spent on this task by more than half."
21332,11-3051.00,E0,E2,"Requires physical presence on-site to inspect equipment, behaviors, and conditions, interact with staff, and make real-time judgments about compliance; an LLM can help with checklists or interpreting regulations but cannot perform or reduce by half the time needed for the core in-person audit work."
21333,11-3051.00,E1,E2,"Developing and documenting standard operating procedures is largely a text-based, analytical task (describing workflows, safety steps, quality checks, responsibilities) where an LLM can draft, refine, and adapt procedures, compare to best practices, and help enforce via checklists and training materials, cutting the manager’s time by more than half while the human still validates and implements on the shop floor."
21334,11-3051.00,E2,E2,"Implementing procedures involves complex, context-specific judgment, coordination with multiple stakeholders, and training staff, so an LLM alone won’t cut time by half. However, LLM-powered tools could draft and standardize SOPs, emergency plans, checklists, and training materials, and help simulate scenarios, significantly speeding up design and documentation of operational and emergency procedures."
21335,11-3051.00,E1,E2,"An LLM can draft and standardize compliance logs, templates, checklists, and summaries of relevant regulations, and help phrase documentation and responses to audits. Since the work is largely text- and record-based, this can cut the time needed to maintain compliant records by more than half, though the manager still supplies data and final verification."
21336,11-3051.00,E2,E2,"An LLM alone can help interpret and summarize regulatory language, but staying current on permit requirements depends on monitoring external regulatory databases and agency updates. With an LLM-powered tool that automatically tracks, retrieves, and summarizes new or revised permit conditions for a facility, the time to monitor updates could be cut by more than half."
21337,11-3051.00,E2,E2,"Requires integrating plant data, regulations, and real-time operations to balance cost, productivity, safety, and environmental compliance. A standalone LLM can help with analysis frameworks, scenario planning, and drafting procedures but cannot access or process all relevant operational data. However, an LLM-powered system connected to production, safety, and compliance data could significantly accelerate analysis and decision support, cutting task time by half."
21338,11-3051.00,E1,E2,"Preparing productivity/efficiency reports is largely text- and data-driven (summaries, explanations, charts descriptions). An LLM can draft report narratives, structure sections, interpret provided metrics, and refine language, cutting the manager’s time by more than half while the manager validates data and final conclusions."
21339,11-3051.00,E2,E0,"An LLM can help draft instructions, performance reviews, schedules, and feedback, and suggest responses to employee issues, but supervision also requires real-time interpersonal interaction, observation, and decision-making. With additional integrated tools (HR systems, communication platforms), LLM-powered software could significantly streamline supervisory tasks, but cannot on its own cut the time by half."
3318,11-9021.00,E2,E2,"While the physical site inspection is inherently non-automatable by an LLM (so the task cannot be cut in half by chat alone), software built on top of an LLM could greatly speed up code-compliance checking: organizing inspection notes and photos, mapping observations to relevant building/safety codes, generating checklists, and drafting compliance reports. This kind of tool could plausibly reduce the overall time spent on the review/monitoring and documentation portion of the task by at least half."
3327,11-9021.00,E1,E2,"An LLM can draft quality control plans, checklists, procedures, documentation templates, and training materials, and can adapt standard QC frameworks to specific projects, cutting the time a manager spends designing and revising these programs by more than half. The remaining work—customizing to site conditions, coordinating with stakeholders, and enforcing the program on-site—still requires human judgment and in-person management, but the core design and documentation effort is highly text-based and LLM-supportable."
20332,11-9021.00,E2,E2,"An LLM can help draft schedules, break down work into tasks, sequence activities, and generate coordination checklists, but effective planning and coordination also require integrating live project data (crew availability, deliveries, site conditions) and tools like project management or scheduling software. With additional LLM-powered applications tied into these systems and real-time project information, a manager could cut planning and coordination time by more than half, but the LLM alone is not sufficient."
3326,11-9021.00,E1,E2,"An LLM can draft and format budget estimates, progress narratives, and cost tracking report text, help structure spreadsheets or templates, and check calculations/assumptions described in text. This substantially reduces the time a construction manager spends preparing and revising these documents, even though the underlying data still comes from project systems and human judgment."
20340,11-9021.00,E0,E0,"Requires continuous in-person oversight, coordination, safety monitoring, and real-time decision-making on site; an LLM can help with planning or documentation but cannot directly supervise workers or cut the core task time by half."
3317,11-9021.00,E2,E2,"An LLM alone can help a manager think through staffing plans, interpret schedules, and draft allocation scenarios, but accurate labor determination depends on project data (budgets, schedules, productivity rates, regulations) typically stored across specialized systems. An LLM-powered tool integrated with these systems could automatically analyze project scope, timelines, and constraints to recommend worker numbers and trades per site, cutting the time required by more than half."
3314,11-9021.00,E2,E0,"While the core of this task involves real-time human interaction and judgment, LLM-powered tools could substantially assist by drafting agendas, summarizing issues and complaints, proposing solution options, and generating clear written follow-ups or revised procedures. However, because the actual discussions, negotiations, and relationship management must still be done by the manager, direct chat access alone is unlikely to cut total task time by half; specialized software integrating project data and communication channels could."
20334,11-9021.00,E2,E2,"An LLM can draft and redline contract language, suggest negotiation points, and summarize counterpart proposals, but actual negotiation and agreement depend on human judgment, relationships, and up-to-date project specifics. Dedicated tools integrating templates, prior contracts, and legal databases on top of the LLM could realistically cut the time for preparing and revising these agreements by more than half."
3323,11-9021.00,E1,E2,"An LLM can quickly interpret written job specifications, extract constraints and requirements, compare alternative methods, and draft recommended construction approaches for the manager to review, cutting the time spent on analysis and documentation by more than half, while the human still makes final method selections."
3315,11-9021.00,E2,E2,"An LLM alone can help draft plans, schedules, checklists, and communications, but core planning/organizing work depends on project data, drawings, regulations, and real-time site conditions. With additional software that integrates project management tools, BIM, schedules, and cost data, an LLM could significantly accelerate planning and coordination, cutting time by more than half while the manager still makes final decisions."
20339,11-9021.00,E0,E0,"While an LLM can help draft or review contracts and provide written guidance, the core of overseeing craft work (e.g., on-site supervision of painting or plumbing, coordinating trades, checking quality and safety) is physical, situational, and interaction-heavy. Direct LLM access would not cut the time to perform this task by half with equivalent quality."
20333,11-9021.00,E0,E2,"Requires on-site investigation, physical inspection, and real-time interaction with workers and conditions; an LLM can help with checklists or report writing but cannot cut the core investigative time by half."
20336,11-9021.00,E1,E1,"The core of this task is understanding written plans and contracts and then explaining them clearly to different audiences. An LLM can quickly interpret contract language, summarize key terms, adapt explanations to workers vs. clients, and draft talking points or written explanations, cutting the time needed for preparation by more than half."
20335,11-9021.00,E0,E2,"Requires real-time, on-site judgment, coordination, and decision-making in response to physical conditions, safety issues, and emergencies. An LLM can offer generic advice or help draft contingency plans, but cannot perceive site conditions or directly manage people and resources enough to cut task time by half."
3325,11-9021.00,E2,E2,"An LLM can help draft and optimize materials lists, compare specifications, and generate standardized requisition documents, but actual ordering must interface with procurement systems, vendors, and project schedules. Purpose-built software using an LLM to integrate drawings, BIM models, and inventory/ERP data could cut the time for requisitioning by more than half, but the LLM alone is not sufficient."
20337,11-9021.00,E2,E2,"An LLM alone can help draft permit applications, write justifications, and interpret requirements, but actually obtaining permits requires interacting with specific municipal systems, up-to-date regulations, and sometimes in-person or synchronous communication. Purpose-built software that integrates an LLM with local permitting portals and regulatory databases could automate much of the information gathering and form-filling, cutting the time by more than half."
19523,11-9021.00,E2,E2,"An LLM can help draft and refine conceptual cost estimates, feasibility narratives, and sustainability/energy-efficiency assessment text, and assist with structuring assumptions and checklists, but accurate pre-building assessments depend heavily on up-to-date local cost data, codes, site conditions, and specialized tools (estimating and energy-modeling software). With additional integrated software that pulls current data and project documents, an LLM-based system could cut the time by more than half, but the LLM alone is insufficient."
20338,11-9021.00,E2,E2,"An LLM alone can help reason about methods, draft analyses, and interpret model outputs, but true cost-effectiveness evaluation depends on specialized modeling tools, current cost data, and project-specific simulations. LLM-powered software integrated with cost databases and construction modeling tools could automate much of this analysis and cut the time by more than half."
19522,11-9021.00,E2,E2,"An LLM can’t perform on-site inspections, but software built on top of it could ingest regulations, project documents, inspection checklists, and sensor/monitoring data to flag likely noncompliance and generate reports. This would significantly speed up the review and documentation portion of monitoring environmental compliance, though a human manager must still conduct and interpret the physical inspection."
