task_id,label,explanation
39,E1,"The LLM can help draft product standards, sampling plans, test procedures, and interpret test data summaries, though physical sampling/testing is done by humans."
32,E1,"High-level coordination involves planning, documentation, and communication; the LLM can draft plans, memos, and decision frameworks that substantially reduce time."
34,E1,"Reviewing schedules and making decisions on inventory, staffing, and procedures is largely information and text-based; the LLM can assist with scenario analysis, decision rationales, and communication."
35,E1,"Problem resolution relies on analyzing descriptions of issues and proposing solutions; the LLM can structure root-cause analyses, suggest options, and draft follow-up actions."
36,E0,"Hiring, training, evaluating, and resolving grievances are heavily interpersonal and situational; the LLM can draft materials but cannot cut the time of the overall people-focused task by half."
40,E1,"Designing tracking/quality systems and analyzing reports is text- and data-interpretation heavy; the LLM can propose system designs, metrics, and interpret summarized data to flag issues."
38,E1,"Preparing and maintaining reports and records is primarily documentation; the LLM can generate templates, auto-draft narratives, and summarize data provided by the user."
41,E1,"Reviewing plans and collaborating on new products/processes is conceptual and document-based; the LLM can help generate ideas, critique plans, and draft technical justifications."
33,E1,"Budget development and expenditure approvals involve analysis and written justification; the LLM can help build budget structures, scenarios, and rationale text from provided numbers."
44,E1,"Staying current on quality control literature is reading and summarization; the LLM can summarize articles, extract key methods, and compare approaches from provided texts."
43,E1,"Coordinating maintenance/modification procedures is planning and documentation; the LLM can help draft maintenance plans, replacement justifications, and communication to stakeholders."
37,E1,"Designing and coordinating inventory or cost control programs is policy and process design; the LLM can propose program structures, KPIs, and documentation."
45,E2,"Negotiation itself is interactive and relational, but an LLM-powered tool could prepare negotiation strategies, counteroffers, and live suggestion prompts, significantly reducing effort."
21332,E0,"Site audits require physical presence, observation, and in-person interaction; the LLM can help with checklists and report templates but not halve the overall audit time."
21333,E1,"Developing/enforcing procedures is largely writing and refining SOPs and training materials; the LLM can draft, standardize, and adapt procedures quickly."
21334,E1,"Implementing operational/emergency procedures involves documentation and communication; the LLM can help write clear procedures, drills scripts, and explanatory materials."
21335,E1,"Maintaining compliance records is documentation-heavy; the LLM can structure record systems, generate standard entries, and summarize compliance status from user inputs."
21336,E2,Monitoring permit requirements needs up-to-date regulatory tracking; an LLM-based tool with web/regulatory database access could alert to changes and summarize impacts.
21337,E1,Optimizing costs and productivity within safety/environmental constraints is analysis and planning; the LLM can help evaluate tradeoffs and draft optimization plans from provided data.
21338,E1,Preparing operations and productivity reports is a text/reporting task; the LLM can turn raw figures and notes into structured reports and executive summaries.
21339,E0,"Supervising employees is primarily real-time, interpersonal management; while the LLM can assist with documentation and guidance, it cannot halve the time spent on direct supervision."
3318,E2,"Code compliance checks need on-site inspection, but LLM-based tools could help interpret codes, generate checklists, and draft compliance reports, cutting desk work time by half."
3327,E1,"Designing quality control procedures, documentation, checklists, and metrics is largely text- and spreadsheet-based; an LLM can draft and refine these quickly."
20332,E2,"Scheduling and coordination rely heavily on specialized software and real-time data; an LLM alone helps with templates and communication, but integrated with project tools it could significantly speed planning."
3326,E1,"Preparing budgets and written reports is text- and number-focused; an LLM can draft narratives, structure cost reports, and format progress updates from provided figures."
20340,E0,Direct supervision of workers is inherently in-person and situational; an LLM can offer guidance or scripts but cannot halve the time spent supervising.
3317,E1,"Determining labor requirements involves interpreting plans, productivity rates, and schedules; an LLM can assist with calculations, assumptions, and documentation of staffing plans."
3314,E1,"Preparing for and structuring discussions, drafting emails, agendas, and resolution proposals is text-heavy; an LLM can significantly speed preparation and follow-up documentation."
20334,E1,Drafting and revising contract language and negotiation points is a text-based legal/technical task well-suited to LLM assistance.
3323,E1,"Studying specs and translating them into method statements, work plans, and summaries is largely textual; an LLM can help interpret and restate requirements."
3315,E2,"High-level planning and directing is partly in-person, but LLM-powered tools integrated with schedules, RFIs, and reports could substantially reduce planning and documentation time."
20339,E2,"Contracting and overseeing craft work is partly field-based, but LLM tools tied to vendor databases and scheduling systems could streamline scoping, RFQs, and oversight documentation."
20333,E2,"Investigations require site presence, but LLM-based systems could help structure interviews, analyze notes, and draft incident reports and corrective action plans."
20336,E1,"Interpreting and explaining plans and contract terms can be supported by an LLM that generates plain-language explanations, summaries, and presentation materials."
20335,E2,"Responding to delays and emergencies is real-time and situational, but integrated LLM tools could quickly generate revised plans, communications, and schedule-impact narratives."
3325,E1,"Requisitioning materials involves identifying items, quantities, and specs and drafting purchase requests; an LLM can help from takeoff notes to structured requisition text."
20337,E2,"Permit applications depend on jurisdiction-specific online systems; an LLM can draft narratives and checklists, and with integration could auto-fill forms and track requirements."
19523,E1,"Pre-building assessments are largely analytical and report-based; an LLM can help structure assumptions, compare options, and draft assessment documents from provided data."
20338,E2,"Cost-effectiveness analysis uses computer models; an LLM alone can help interpret outputs and draft comparisons, and with integration could automate much of the analysis and reporting."
19522,E2,"Environmental compliance checks require site observation, but LLM tools could interpret regulations, generate checklists, and draft compliance reports from collected data."
19520,E1,"Designing and documenting environmental protection programs (policies, procedures, training content) is text-heavy and well-suited to LLM assistance."
19524,E1,"Securing third-party verification (e.g., LEED) involves documentation, checklists, and narrative responses; an LLM can help map credits, organize evidence, and draft submittals."
19521,E1,"Creating training materials, outlines, slides content, and quizzes on environmental topics is a text-generation task that an LLM can accelerate."
19519,E1,Developing comparative green vs. non-green budgets and explanatory narratives is largely analytical and textual; an LLM can help structure comparisons and write justifications.
19518,E1,"Applying green building strategies involves selecting and documenting measures; an LLM can suggest strategies, summarize standards, and draft implementation plans."
3331,E2,"Directing land acquisition involves negotiations, legal review, and market data; an LLM can assist with analysis and documents, and with integrated data tools could further reduce effort, but much work remains human-driven."
7263,E0,"Requires substantial in-person, relationship-based consultation and situational judgment with diverse institutions; an LLM could help draft questionnaires or talking points but would not cut the overall time by half."
7258,E0,"Building and maintaining liaisons is primarily interpersonal and ongoing relationship work; text help (emails, MOUs, coordination notes) is secondary and not enough to halve the time."
7257,E0,Real-time disaster response and ordering evacuations or opening shelters are high-stakes operational decisions requiring live coordination and authority; an LLM could only offer minor decision-support text.
7260,E1,"Writing and refining status reports describing efforts, needs, and damage is largely a text task; an LLM can draft, summarize, and format reports from notes, likely cutting time by more than half."
7256,E1,"Maintaining and updating written resource materials (plans, checklists, contact lists) is heavily document-focused; an LLM can help reorganize, update language, and integrate changes efficiently."
7254,E1,"Preparing written emergency operating procedures and recovery plans is a complex writing task; an LLM can generate structured drafts, scenarios, and revisions, significantly reducing drafting time."
7264,E1,"Developing tests and evaluations involves designing exercises, checklists, and evaluation forms; these are text-based artifacts that an LLM can help draft and refine quickly."
7266,E1,"Collaborating on damage assessments includes producing written summaries, templates, and comparative analyses; an LLM can assist in structuring and drafting these documents from provided data."
7261,E1,"Designing and administering training courses involves curricula, lesson plans, and written materials; an LLM can generate outlines, objectives, scenarios, and assessments, halving prep time."
7253,E2,Staying informed about activities or changes requires monitoring many information sources; an LLM-powered system with retrieval and alerting could aggregate and summarize relevant updates efficiently.
7262,E0,Inspecting physical facilities and equipment is inherently hands-on and site-based; an LLM might help with checklists or report templates but not enough to halve total task time.
7269,E1,"Reviewing written emergency plans for adequacy is largely document analysis and feedback; an LLM can highlight gaps, compare to standards, and suggest improvements from the text."
7259,E2,Tracking evolving regulations and ensuring plan compliance benefits from a system that retrieves and updates legal texts; an LLM plus such retrieval could map requirements to plans efficiently.
7270,E1,"Designing surveys and providing technical support for them is mostly about crafting questions, instructions, and analysis plans; an LLM can generate and refine these quickly."
7265,E0,"Attending meetings, conferences, and workshops is primarily in-person networking and listening; an LLM could help prepare questions or summaries but not reduce attendance time by half."
7255,E1,Proposing alterations to procedures based on changes and lessons learned is a policy-writing and analysis task; an LLM can help synthesize inputs and draft revised procedures.
7267,E1,"Developing public instructional materials and presentation scripts is text-heavy; an LLM can draft brochures, FAQs, slide text, and talking points efficiently."
7272,E1,"Applying for and reporting on grants is largely application and report writing; an LLM can help structure narratives, answer prompts, and format progress reports, greatly reducing writing time."
7268,E1,"Training local groups in plan preparation involves creating guidance documents, templates, and example plans; an LLM can generate these materials and talking points."
7275,E1,Assisting communities with funding applications is mostly about explaining requirements and drafting application text; an LLM can produce tailored drafts and checklists from inputs.
7271,E1,"Studying other emergency plans and extracting lessons is a document review and synthesis task; an LLM can summarize, compare, and highlight best practices from provided texts."
7273,E1,"Developing training procedures and strategies for radiological protection is specialized but text-based; an LLM can help draft curricula, SOPs, and scenario scripts given constraints."
7274,E0,Inventorying and distributing physical detection equipment and instructing on its use involves hands-on logistics and demonstrations; text assistance is marginal relative to the physical work.
18861,E1,"The LLM can quickly interpret and summarize HR policies and laws, draft explanations, and answer questions about them, cutting the time needed for understanding and communication by more than half."
18859,E2,"Actual hiring decisions and paperwork processing occur in HRIS/ATS systems and involve coordination with people; an LLM can draft communications, check offer language, and guide steps, but full 50% time reduction likely needs tighter integration with HR software."
18864,E1,"The LLM can summarize EEO/ADA/affirmative action rules, generate updates from provided materials, and create quick-reference guides or Q&A, substantially reducing time to maintain and refresh knowledge."
18866,E2,"Maintaining records is largely data entry and workflow in HR systems; an LLM can help design procedures, templates, and checklists, but major time savings would come from LLM-integrated HRIS that automates data population and validation."
